Group,Experiment_ID,Model,Training_Success,Has_Energy,Has_All_Params,Missing_Params
group1a_examples,examples_mnist_ff_072_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_007,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_008,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_009,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_010_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_011_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_012_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_001,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_002,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_003,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_004_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_005_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_006_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_rnn_013,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
