hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,64.0,0.3905070975289366,90.0,5.0,0.0274165593810189,100.0,1797.0,0.0005,0.717806,0.884501,0.960214,160222.69,12877.85,173100.54,226.2325267800882,289.76,14.04,1077093.0599999998,78.60785549254358,84.0,84.1818945599664,99.0,4891.830006599426
0.1,64.0,0.4858327327598483,46.0,5.0,0.0487627023304731,100.0,2567.0,0.0005,0.739777,0.895784,0.961401,84028.73,6727.35,90756.08,214.2455694164989,290.51,13.64,532400.2399999999,77.9830985915493,84.0,85.00241448692152,99.0,2557.0195183753967
0.1,64.0,0.366983324404857,51.0,5.0,0.0655875670649268,100.0,831.0,0.0005,0.727889,0.899644,0.959026,93415.71,7440.81,100856.52,214.1022438672437,288.81,14.1,593491.4199999996,78.244227994228,84.0,84.63383838383838,99.0,2851.2716014385223
0.1,64.0,0.4322260692037276,88.0,5.0,0.0333285474494419,100.0,3.0,0.0005,0.743455,0.900534,0.961698,181173.65,16329.11,197502.76,202.4565757328993,289.18,10.01,994466.7000000014,78.23513843648209,85.0,85.39800488599349,99.0,5054.208633422852
0.1,64.0,0.3022615486313996,46.0,5.0,0.0365972378785975,100.0,8394.0,0.0005,0.726063,0.894299,0.95962,96906.18,8691.19,105597.37,203.7117003431188,288.35,14.12,534335.7900000006,78.13915364086924,84.0,85.2089210827297,100.0,2699.598678588867
0.1,64.0,0.3740566101422958,42.0,5.0,0.0643887594884586,100.0,9288.0,0.0005,0.724662,0.893409,0.962886,88283.11,7851.34,96134.45,203.94562891767708,289.26,15.16,488041.8900000013,78.16757208524864,85.0,84.83911408274133,100.0,2463.199958086014
0.1,64.0,0.568886060444693,63.0,5.0,0.0408288525959348,100.0,6047.0,0.0005,0.744621,0.898456,0.959026,118535.31,9806.49,128341.8,203.16820154153675,291.76,13.17,711698.2100000032,77.7813302883243,84.0,87.4730231230374,99.0,3601.544077396393
0.1,64.0,0.3062766209113144,65.0,5.0,0.0700907698266854,100.0,2386.0,0.0005,0.752744,0.902019,0.96348,117092.32,9661.54,126753.86,216.2097838616719,291.63,9.51,750247.9500000015,77.88559077809798,84.0,85.19048991354467,99.0,3567.5358197689056
0.1,64.0,0.5513233393196361,53.0,5.0,0.0614576807411316,100.0,6585.0,0.0005,0.610067,0.834323,0.936461,120827.53,9919.06,130746.59,238.41554356622623,255.68,14.82,883806.4200000007,82.21931480981927,84.0,66.94254113838683,79.0,3811.209979772568
0.1,64.0,0.5195976616185731,58.0,5.0,0.0682265866587926,100.0,1606.0,0.0005,0.692938,0.875,0.953979,132185.61,10982.7,143168.31,235.52923872875104,259.58,13.4,956013.1800000004,82.48928307464892,84.0,67.40872135994087,81.0,4172.616622924805
0.1,64.0,0.3747065385406993,65.0,5.0,0.0410377172056041,100.0,8784.0,0.0005,0.77334,0.913895,0.965855,147122.55,12326.99,159449.54,235.3303997349824,259.68,14.59,1065576.0500000005,82.50110424028269,84.0,67.7946113074205,81.0,4653.660094976425
0.1,64.0,0.3064062737224819,36.0,5.0,0.0254240275383937,100.0,1328.0,0.0005,0.763533,0.905582,0.962292,83396.77,6902.78,90299.55,235.8776751467713,257.64,14.5,602667.4600000007,82.4187866927593,84.0,66.906457925636,79.0,2629.045204639435
0.1,64.0,0.4259578399093254,41.0,5.0,0.0520003517357183,100.0,1329.0,0.0005,0.746462,0.904988,0.966746,94001.88,7910.01,101911.89,236.0780893042576,258.02,13.68,682029.6000000001,82.44894427137417,84.0,67.05019037729318,79.0,2971.231713533401
0.1,64.0,0.5002766114221849,74.0,5.0,0.0533656917897238,100.0,2409.0,0.0005,0.771823,0.925178,0.968824,177060.64,13955.52,191016.16,232.01028671057696,317.92,14.22,1197637.0999999982,79.75803951956605,84.0,97.0350639287098,100.0,5306.358758449554
0.1,64.0,0.4600276508201041,71.0,5.0,0.0536744567942137,100.0,4350.0,0.0005,0.778142,0.928444,0.970606,169700.8,13471.52,183172.32,233.20734141414124,316.65,11.22,1154376.3399999992,79.75636363636363,84.0,96.99373737373736,100.0,5087.89219212532
0.1,64.0,0.5245543529492258,87.0,5.0,0.0328204689306832,100.0,3851.0,0.0005,0.768541,0.925178,0.971496,206547.13,16464.64,223011.77,235.02199734572068,318.15,14.11,1416712.6000000043,79.86114797611148,84.0,97.28500331785004,100.0,6194.257816791534
0.1,64.0,0.4321790124939367,41.0,5.0,0.0620295487623137,100.0,4158.0,0.0005,0.777609,0.932304,0.975059,100340.07,8002.05,108342.12,233.8841358024691,318.35,13.13,682006.1399999999,79.51063100137175,84.0,96.1755829903978,100.0,3000.893898010254
0.1,64.0,0.3994739920241816,64.0,5.0,0.0513124728990428,100.0,2972.0,0.0005,0.778621,0.925772,0.972981,153572.46,12101.87,165674.33,234.93984539547355,318.35,12.27,1048536.5299999984,79.73425946672641,84.0,96.99955187093884,100.0,4588.872319936752
