experiment_id,timestamp,repository,model,mode,is_parallel,training_duration,hyperparam_learning_rate,hyperparam_batch_size,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_power_max_watts,gpu_power_min_watts,gpu_util_avg,gpu_temp_max,gpu_temp_avg,perf_test_accuracy,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_kfold,l2_regularization,perf_top1_accuracy,perf_top5_accuracy,perf_accuracy,perf_precision,perf_recall,perf_eval_loss
Person_reID_baseline_pytorch_densenet121_037,2025-11-27T15:58:11.532201,Person_reID_baseline_pytorch,densenet121,default,0,60,0.045275688355853064,,1334,79056.4,528685.6800000006,248.9103954802263,277.49,14.38,71.32062146892656,85.0,82.59227871939737,,0.13008215590403072,263.11,2.4077212806026296,0.5,0.745008,0.898159,0.963183,,,,,,,,
MRT-OAST_default_007,2025-11-27T01:26:07.887870,MRT-OAST,default,default,0,10,0.0001,,1334,41558.93,301697.3300000005,239.25244250594804,316.67,76.53,92.8366375892149,84.0,79.6669310071372,,0.12107260622136926,240.14000000000001,4.333068992862806,0.12455674962926074,,,,,0.0,,,4809.0,0.992944,0.873397,
pytorch_resnet_cifar10_resnet20_021,2025-11-27T05:15:52.572943,pytorch_resnet_cifar10,resnet20,default,0,200,0.1302572050096328,,1334,50651.31,249513.82999999984,229.5435418583255,250.02,76.57,54.5639374425023,81.0,78.88132474701013,91.93,0.16874481160603802,173.45000000000002,2.118675252989874,,,,,,0.0001,,,,,,
Person_reID_baseline_pytorch_pcb_051,2025-11-28T07:00:50.188860,Person_reID_baseline_pytorch,pcb,default,0,70,0.05,,1334,171126.73,1031110.5800000004,225.37936174863398,318.92,13.43,96.89989071038251,84.0,77.72306010928962,,0.14234022565811066,305.49,6.276939890710381,0.5,0.775188,0.924584,0.971496,,,,,,,,
MRT-OAST_default_008,2025-11-27T01:48:51.027370,MRT-OAST,default,default,0,10,0.0001,,1334,41568.12,303269.6500000002,240.69019841269858,317.74,76.49,92.7936507936508,84.0,79.85396825396825,,0.12054398797440309,241.25,4.146031746031753,0.12275489474891335,,,,,0.0,,,4800.0,0.991541,0.872983,
examples_siamese_080,2025-11-28T17:05:45.889364,examples,siamese,default,0,10,0.01,73.0,1,6739.85,36828.83999999999,194.86158730158724,201.82,76.17,55.629629629629626,79.0,76.31746031746032,100.0,0.15469480491609922,125.64999999999999,2.6825396825396837,,,,,,,,,,,,
Person_reID_baseline_pytorch_densenet121_041,2025-11-27T19:05:14.876159,Person_reID_baseline_pytorch,densenet121,default,0,60,0.05,,1334,79938.62,527477.7100000015,246.3697851471282,279.13,15.6,71.34049509574965,85.0,82.68425969173283,,0.13160433141466546,263.53,2.3157403082671664,0.5575860384516412,0.731845,0.894893,0.963777,,,,,,,,
examples_mnist_066,2025-11-28T15:46:08.596740,examples,mnist,default,0,10,0.01,32.0,1158,6823.78,17876.849999999995,94.0886842105263,96.16,73.68,11.921052631578947,64.0,63.294736842105266,99.0,0.2762593504700083,22.47999999999999,0.7052631578947341,,,,,,,,,,,,
MRT-OAST_default_010,2025-11-27T02:34:35.446016,MRT-OAST,default,default,0,10,0.0001,,1334,41783.5,302200.63999999984,238.32858044164024,318.02,76.2,92.72003154574132,84.0,79.56624605678233,,0.12146926308869943,241.82,4.433753943217667,0.2,,,,,0.00032793625117347565,,,4636.0,0.981867,0.761688,
examples_mnist_rnn_006,2025-12-01T22:51:01.552471,examples,mnist_rnn,default,0,10,0.01,38.0,1,12420.49,2220.769999999999,7.819612676056335,78.76,3.78,0.01056338028169014,47.0,39.566901408450704,95.0,0.8483211144396043,74.98,7.433098591549296,,,,,,,,,,,,
examples_mnist_rnn_005,2025-12-01T22:45:03.633402,examples,mnist_rnn,default,0,10,0.01,120.0,1,8080.1,1970.2300000000005,9.426937799043065,82.1,3.68,0.0,57.0,46.54545454545455,91.0,0.8039636509447947,78.41999999999999,10.454545454545453,,,,,,,,,,,,
